FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,5,1.3,3.02325581395349E-07,1.16279069767442E-06,0,19650,0,2,0,0,0,0,0,1.2,102,-2,0,5,2,0,0,0,0,0,0,0,0,0.2,11795,0,0,0,0,136,4,0,0,19,Southampton,Huddersfield,Leicester,Arsenal,Everton,0,0,0,0,0,0,0,0,0,4.6
Tammy,Abraham,FWD,SWA,5400000,1,70,3,5.55555555555556E-07,1.2962962962963E-05,0,1315753,0,28,0,0,0,4,0,13,3791,-1,0,70,1,0.4,0,2,8,0,4,0,3,3.6,1307122,0,0,0,1,1431,806,0,0,199,Huddersfield,Man Utd,West Brom,Everton,Man City,2.5,0,2,2.5,3.6,2.3,2.5,2.8,3.6,88.9
Charlie,Adam,MID,STK,4700000,0,12,0.413793103448276,8.80410858400587E-08,2.5531914893617E-06,0,7498,2,7,0,0,0,0,0,2.6,58,-3,0,12,3,-0.1,1,-0.3,0,0,2,0,0,0.1,3408,0,0,0,0,376,43,0,0,62,Man City,Everton,Arsenal,Tottenham,West Ham,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,27.1
,Adam Smith,DEF,BOU,4800000,2,53,1.82758620689655,3.80747126436782E-07,1.10416666666667E-05,0,44919,5,33,0,0,0,1,0,11,226,-2,0,53,2,0.7,0,3.3,3,0,2,0,2,0.4,10724,0,0,0,0,1921,616,0,0,353,Tottenham,West Brom,Watford,Crystal Palace,Liverpool,1.5,1.6,1.4,2.3,1.2,1.5,1.4,1.4,1.3,87.8
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0,0,0,0,1737,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,3114,0,0,0,0,0,137,0,0,0,Stoke,Everton,Man Utd,Tottenham,Swansea,0,0,0,0,0,0,0,0,0,0
,Adrian,GLK,WHU,4400000,1,48,3.2,7.27272727272727E-07,1.09090909090909E-05,0,92875,2,24,0,50,0,0,0,10.9,3892,-1,0,48,1,0.7,0,3.3,1,0,4,0,0,3,254270,0,0,0,0,1350,1481,0,0,276,Burnley,Southampton,Chelsea,Stoke,Arsenal,3.8,0,3.7,2.7,4.1,2.5,3.1,2.3,3.4,34.3
Ibrahim,Afellay,MID,STK,4800000,0,6,0.206896551724138,4.31034482758621E-08,1.25E-06,0,1785,1,9,0,0,0,0,0,1.3,24,-2,0,6,2,0,0,0,0,0,0,0,0,0,1305,0,0,0,0,162,15,0,0,29,Man City,Everton,Arsenal,Tottenham,West Ham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.8
Benik,Afobe,FWD,BOU,5700000,0,24,1.4,2.45614035087719E-07,4.21052631578947E-06,0,33658,0,12,0,0,0,0,0,4.2,53,-3,0,24,3,0,0,0,0,0,0,0,1,0.2,7414,0,0,0,0,534,2,0,0,73,Tottenham,West Brom,Watford,Crystal Palace,Liverpool,0,0,0,0,0,0,0,0,0,31.3
Sergio,Aguero,FWD,MCI,11900000,2,169,7,5.88235294117647E-07,1.42016806722689E-05,0,3167488,1,12,0,0,0,21,0,14.2,18604,4,1,169,-4,0.8,0,9.3,22,0,13,0,6,26.8,4058645,0,0,0,4,1946,34062,-1,0,739,Stoke,Everton,Man Utd,Tottenham,Swansea,8.8,0,8.5,9.9,7.9,9.9,8.5,10.4,9.3,298.8
Nathan,Ake,DEF,BOU,5000000,2,85,2.9,5.8E-07,1.7E-05,0,398677,4,42,0,0,0,2,0,17,7833,0,0,85,0,0.4,0,2,8,0,5,0,2,6.5,347856,0,0,0,1,2542,8747,0,0,503,Tottenham,West Brom,Watford,Crystal Palace,Liverpool,3,3.2,2.8,4.1,2.5,3.1,2.9,2.9,2.7,99.4
Marc,Albrighton,MID,LEI,5600000,2,97,3.3,5.89285714285714E-07,1.73214285714286E-05,0,331366,5,35,0,0,0,2,0,17.3,8035,1,0,97,-1,0.5,0,3,12,0,6,0,7,3.5,415285,0,0,0,2,2197,5696,0,0,405,West Brom,Brighton,Newcastle,Burnley,Southampton,2.7,0,2.2,3.6,2.6,3.2,2.5,3.8,2,142.9
Toby,Alderweireld,DEF,TOT,5800000,0,38,1.31034482758621,2.25921521997622E-07,6.55172413793103E-06,0,654614,3,7,0,0,0,0,0,6.6,1382,-2,0,38,2,0,0,0,3,0,5,0,0,5.1,165966,0,0,0,0,900,31,0,0,200,Bournemouth,Chelsea,Stoke,Man City,Brighton,0,0,0,0.7,0.7,0.7,1,0.7,0.8,27.7
Trent,Alexander-Arnold,DEF,LIV,4300000,9,53,1.82758620689655,4.25020048115477E-07,1.23255813953488E-05,0,287595,3,13,0,0,0,1,0,12.3,2211,-2,0,53,2,1.3,0,5.7,7,0,5,0,1,3.7,363183,0,0,0,2,1069,28705,0,0,270,Man Utd,Watford,Crystal Palace,Everton,Bournemouth,0.9,1.7,1.9,0.9,1.3,1,1.8,1.2,1.8,64.5
